simplification,nbr_occurences_simpl,obsolete,coton,nbr_occurences_coton
outils à soutirer le vin,5,non,not raw cotton,827861
outils à sucre,1,non,not raw cotton,827861
outils à tirer le vin,1,non,,47338
outils à tirer le vin au claire,2,non,not raw cotton,827861
outils d'acier,1,oui,,47338
outils d'acier et de fer,5,non,not raw cotton,827861
outils d'acier pur,8,non,not raw cotton,827861
outils d'agriculture,1,non,not raw cotton,827861
outils d'horloge,2,non,,47338
outils d'horlogerie,3,non,not raw cotton,827861
outils d'imprimerie,10,non,not raw cotton,827861
outils d'imprimerie et de marbre,1,non,not raw cotton,827861
outils de cuisine,7,non,not raw cotton,827861
outils de cuivre ou de laiton,6,non,not raw cotton,827861
outils de fer,21,non,not raw cotton,827861
outils de fer à forgeron,1,non,not raw cotton,827861
outils de fer de forgeron,1,non,not raw cotton,827861
outils de fer pour la pêche,2,non,,47338
outils de fer pur,8,non,not raw cotton,827861
outils de fer rechargé d'acier,8,non,not raw cotton,827861
outils de frecatage,1,non,not raw cotton,827861
outils de la pêche,301,non,,47338
outils de la pêche à corail,1,non,,47338
outils de labourage,3,non,not raw cotton,827861
outils de lapidaire,1,non,not raw cotton,827861
outils de maréchal,1,non,,47338
outils de marine,1,non,not raw cotton,827861
outils de ménage,10,non,not raw cotton,827861
outils de menuiserie,20,non,not raw cotton,827861
outils de menuisier,1,non,not raw cotton,827861
outils de moulins,1,non,not raw cotton,827861
outils de moulins à papier,2,non,not raw cotton,827861
outils de moulins de fer,4,non,not raw cotton,827861
outils de pêche,326,non,not raw cotton,827861
outils de pêche à la morue,4,non,,47338
outils de pêche à la morue verte,37,non,,47338
outils de pêche au poisson frais,2,non,,47338
outils de pêche aux moules,25,non,,47338
outils de pêche par Marseille,1,non,not raw cotton,827861
outils menuisier,3,non,not raw cotton,827861
outils pour boulanger,1,non,not raw cotton,827861
outils pour charpentier,12,non,not raw cotton,827861
outils pour ferblantier,2,non,not raw cotton,827861
outils pour la pêche,115,oui,,47338
outils pour laboureur,3,non,not raw cotton,827861
outils pour marchands de vin,2,non,not raw cotton,827861
outils pour miroitier,2,non,not raw cotton,827861
outils pour orfèvre,3,non,not raw cotton,827861
outils pour ouvrier,1,non,not raw cotton,827861
outils pour sécheurs,10,non,not raw cotton,827861
outils pour tisserand,3,non,not raw cotton,827861
outremer,1,non,not raw cotton,827861
outres de peau pleines,2,non,,47338
outres vides,2,non,not raw cotton,827861
outres vieilles,1,non,,47338
ouvrage d'architecture,0,oui,,47338
ouvrage de bois,0,oui,,47338
ouvrage de coton,0,oui,,47338
ouvrage de toile,0,oui,,47338
ouvrage de toile pour linge de table,0,oui,,47338
ouvrage en argenture et dorure,0,oui,,47338
ouvrages,95,non,not raw cotton,827861
ouvrages ???,2,non,not raw cotton,827861
ouvrages ??? à couvrir,1,non,not raw cotton,827861
ouvrages brisés et vieux ouvrages de laiton,1,non,not raw cotton,827861
ouvrages d'acier,13,non,not raw cotton,827861
ouvrages d'acier et de fer,1,non,,47338
ouvrages d'agate,4,non,,47338
ouvrages d'agate et agate chique,1,non,,47338
ouvrages d'airain,16,non,not raw cotton,827861
ouvrages d'albâtre,6,non,not raw cotton,827861
ouvrages d'albâtre et ouvrages de bois et ouvrages de marbre,8,non,not raw cotton,827861
ouvrages d'ambre,1,non,not raw cotton,827861
ouvrages d'ambre jaune,1,non,not raw cotton,827861
ouvrages d'architecture,1,non,not raw cotton,827861
ouvrages d'argent,2,non,not raw cotton,827861
ouvrages d'argent et d'or,5,non,not raw cotton,827861
ouvrages d'argent et d'or et de soie,24,non,not raw cotton,827861
ouvrages d'argent et d'or faux,2,non,not raw cotton,827861
ouvrages d'argent et de soie,2,non,not raw cotton,827861
ouvrages d'argent fil et soie,1,non,not raw cotton,827861
ouvrages d'argent fin d'or et de soie,1,non,not raw cotton,827861
ouvrages d'argent or et soie,1,non,not raw cotton,827861
ouvrages d'argent plaqué,1,non,not raw cotton,827861
ouvrages d'auf,50,non,not raw cotton,827861
ouvrages d'auf bandeaux,1,non,not raw cotton,827861
ouvrages d'auf en cousses,1,non,not raw cotton,827861
ouvrages d'auf et de jonc,2,non,not raw cotton,827861
ouvrages d'écaille,1,non,not raw cotton,827861
ouvrages d'étain,1023,non,not raw cotton,827861
ouvrages d'horlogerie,13,oui,not raw cotton,827861
ouvrages d'horlogerie montés,7,non,not raw cotton,827861
ouvrages d'industrie,301,non,not raw cotton,827861
ouvrages d'industrie étrangers,54,non,not raw cotton,827861
ouvrages d'ivoire,110,non,not raw cotton,827861
ouvrages d'opium,1,non,not raw cotton,827861
ouvrages d'optiques,5,non,not raw cotton,827861
ouvrages d'or,1,non,not raw cotton,827861
ouvrages d'or faux,3,non,not raw cotton,827861
ouvrages d'orfèvrerie,6,non,not raw cotton,827861
ouvrages d'osier,20,non,not raw cotton,827861
ouvrages d'osserie,2,non,,47338
ouvrages de bergamotes,1,non,,47338
ouvrages de bois,873,non,not raw cotton,827861
ouvrages de bois de buis,0,oui,,47338
ouvrages de bois de noyer,1,non,not raw cotton,827861
ouvrages de bois de Saint-Claude,1,non,not raw cotton,827861
ouvrages de bois de sapin,1,non,not raw cotton,827861
ouvrages de bois doré,17,non,not raw cotton,827861
ouvrages de bois en atelier de coluses,1,non,not raw cotton,827861
ouvrages de bois en plaqué,2,non,not raw cotton,827861
ouvrages de bois et ouvrages d'osier,10,non,not raw cotton,827861
ouvrages de bois et ouvrages de cuir,18,non,not raw cotton,827861
ouvrages de bois et ouvrages de cuivre,16,non,not raw cotton,827861
ouvrages de bois et ouvrages de fer-blanc,5,non,not raw cotton,827861
ouvrages de bois et ouvrages de modes et fleurs artificielles,18,non,not raw cotton,827861
ouvrages de bois et ouvrages de passementerie,12,non,not raw cotton,827861
ouvrages de bois et ouvrages de peau,10,oui,not raw cotton,827861
ouvrages de bois et ouvrages en terre cuite et ouvrages en brique,13,non,not raw cotton,827861
ouvrages de bois et pelleterie,10,non,,47338
ouvrages de bois et vannerie d'osier,10,non,not raw cotton,827861
ouvrages de bois gros,118,non,not raw cotton,827861
ouvrages de bois menus,86,non,not raw cotton,827861
ouvrages de bois non doré,4,non,not raw cotton,827861
ouvrages de bois peint,1,non,not raw cotton,827861
ouvrages de bois pour bâtir,1,non,,47338
ouvrages de bois pour charpente,1,non,not raw cotton,827861
ouvrages de bois pour le bâtiment,1,non,not raw cotton,827861
ouvrages de bois sculpté et doré,44,non,not raw cotton,827861
ouvrages de bois simple,30,non,not raw cotton,827861
ouvrages de bois simple et doré,25,non,not raw cotton,827861
ouvrages de bois simples en grilles de sapin,1,non,not raw cotton,827861
ouvrages de bois verni,2,non,not raw cotton,827861
ouvrages de bronze,7,non,not raw cotton,827861
ouvrages de buis,7,non,not raw cotton,827861
ouvrages de carreaux et tuiles,2,non,not raw cotton,827861
ouvrages de carton,36,non,not raw cotton,827861
ouvrages de carton assemblé coupé et moulé,2,non,not raw cotton,827861
ouvrages de chanvre,1,non,not raw cotton,827861
ouvrages de chanvre en masse,1,non,not raw cotton,827861
ouvrages de chanvre en rames,1,non,not raw cotton,827861
ouvrages de charpentier,68,non,not raw cotton,827861
ouvrages de charron,9,non,not raw cotton,827861
ouvrages de charronnage,17,non,not raw cotton,827861
ouvrages de chêne,1,non,not raw cotton,827861
ouvrages de cire,4,non,not raw cotton,827861
ouvrages de cire blanche,68,non,,47338
ouvrages de cire jaune,3,non,,47338
ouvrages de corail,400,non,not raw cotton,827861
ouvrages de corail brut,1,non,not raw cotton,827861
ouvrages de corail fin,2,non,not raw cotton,827861
ouvrages de corail rouge,2,non,,47338
ouvrages de cordonnerie de peaux,1,non,not raw cotton,827861
ouvrages de cordonnier,8,non,not raw cotton,827861
ouvrages de cordonnier de cuir,1,non,not raw cotton,827861
ouvrages de cordonnier de soie,2,non,not raw cotton,827861
ouvrages de corne et d'ivoire,1,non,not raw cotton,827861
ouvrages de coton,3,non,not raw cotton,827861
ouvrages de coton et de laine et de fil et de filoselle,3,non,not raw cotton,827861
ouvrages de coudrier,60,non,not raw cotton,827861
ouvrages de coutellerie,105,non,not raw cotton,827861
ouvrages de coutellerie argenterie,1,non,not raw cotton,827861
ouvrages de crin,1,non,not raw cotton,827861
ouvrages de crin de cheval,86,non,not raw cotton,827861
ouvrages de cristal,105,non,not raw cotton,827861
ouvrages de cuir,179,non,not raw cotton,827861
ouvrages de cuir ?,1,non,,47338
ouvrages de cuir ???? en soie pour femme,2,non,not raw cotton,827861
ouvrages de cuir argenté et doré,5,non,not raw cotton,827861
ouvrages de cuir blanc,1,non,not raw cotton,827861
ouvrages de cuir doré,3,non,not raw cotton,827861
ouvrages de cuir et bonnets de soie,4,non,not raw cotton,827861
ouvrages de cuir et peaux,2,non,not raw cotton,827861
ouvrages de cuisse,1,non,not raw cotton,827861
ouvrages de cuivre,1270,non,not raw cotton,827861
ouvrages de cuivre argenté,23,non,not raw cotton,827861
ouvrages de cuivre argenté et dor,5,non,,47338
ouvrages de cuivre argenté et doré et plaqué,37,non,,47338
ouvrages de cuivre doré,10,non,not raw cotton,827861
ouvrages de cuivre doré et argenté,344,non,not raw cotton,827861
ouvrages de cuivre et argent,1,non,not raw cotton,827861
ouvrages de cuivre garnis en argent,1,non,not raw cotton,827861
ouvrages de cuivre jaune,156,non,not raw cotton,827861
ouvrages de cuivre plaqué,1,non,,47338
ouvrages de cuivre potin,1,non,not raw cotton,827861
ouvrages de cuivre rouge,145,non,not raw cotton,827861
ouvrages de cuivre simples,18,non,not raw cotton,827861
ouvrages de damier,2,non,not raw cotton,827861
ouvrages de drap,3,non,not raw cotton,827861
ouvrages de faïence,258,non,not raw cotton,827861
ouvrages de fer,1160,non,not raw cotton,827861
ouvrages de fer de plomb,1,non,not raw cotton,827861
ouvrages de fer et clous,72,non,,47338
ouvrages de fer et de fonte,2,oui,,47338
ouvrages de fer et ouvrages de jonc,7,non,not raw cotton,827861
ouvrages de fer grossiers,1,non,not raw cotton,827861
ouvrages de fer noir,1,non,not raw cotton,827861
ouvrages de fer pour maréchal,2,non,not raw cotton,827861
ouvrages de fer simples,1,non,,47338
ouvrages de fer tôle ou fer-blanc,5,non,not raw cotton,827861
ouvrages de fer-blanc,203,non,not raw cotton,827861
ouvrages de fer-blanc et tôle vernie,29,non,not raw cotton,827861
ouvrages de fer-blanc ou fer tôle,2,non,not raw cotton,827861
ouvrages de feutres,3,non,not raw cotton,827861
ouvrages de fil,5,non,not raw cotton,827861
ouvrages de fil en filoselle,1,non,not raw cotton,827861
ouvrages de fil en galon,2,non,not raw cotton,827861
ouvrages de filoselle,8,non,not raw cotton,827861
ouvrages de filoselle en ruban,1,non,not raw cotton,827861
ouvrages de filoselle et de soie,1,non,not raw cotton,827861
ouvrages de fleuret,8,non,not raw cotton,827861
ouvrages de fleurs,6,non,not raw cotton,827861
ouvrages de fleurs artificielle,5,oui,not raw cotton,827861
ouvrages de fondeur,3,non,not raw cotton,827861
ouvrages de fonte,171,non,not raw cotton,827861
ouvrages de fourreurs,2,non,not raw cotton,827861
ouvrages de grès,1,non,not raw cotton,827861
ouvrages de jais,11,non,not raw cotton,827861
ouvrages de jaspe,17,non,not raw cotton,827861
ouvrages de jonc,108,non,not raw cotton,827861
ouvrages de jonc et de paille,2,non,not raw cotton,827861
ouvrages de jonc et sparterie,2,non,not raw cotton,827861
ouvrages de jouets en malles,1,non,not raw cotton,827861
ouvrages de laine,3,non,not raw cotton,827861
ouvrages de laine et soie,1,non,not raw cotton,827861
ouvrages de laiton,129,non,not raw cotton,827861
ouvrages de liège,11,non,not raw cotton,827861
ouvrages de linge,6,non,not raw cotton,827861
ouvrages de mandrier,59,non,not raw cotton,827861
ouvrages de marbre,422,non,not raw cotton,827861
ouvrages de marbre à jouer,2,non,not raw cotton,827861
ouvrages de marbre et cuivre doré,2,non,not raw cotton,827861
ouvrages de marbre et ouvrages d'albâtre,29,non,not raw cotton,827861
ouvrages de marqueterie,1,non,not raw cotton,827861
ouvrages de mécanique,11,non,not raw cotton,827861
ouvrages de menuiserie,4,non,not raw cotton,827861
ouvrages de menuiserie simple,62,non,not raw cotton,827861
ouvrages de menuisier,2,non,not raw cotton,827861
ouvrages de métal,2,non,not raw cotton,827861
ouvrages de métal frappé et moulu,14,non,not raw cotton,827861
ouvrages de mi soie,1,non,not raw cotton,827861
ouvrages de mode et porcelaine,1,non,not raw cotton,827861
ouvrages de modes,402,non,not raw cotton,827861
ouvrages de paille,8,non,not raw cotton,827861
ouvrages de paille pour chapeaux,3,non,not raw cotton,827861
ouvrages de palme,4,non,not raw cotton,827861
ouvrages de papeterie,1,non,not raw cotton,827861
ouvrages de pâte,1,non,not raw cotton,827861
ouvrages de peau,52,oui,not raw cotton,827861
ouvrages de peaux,3,oui,not raw cotton,827861
ouvrages de peaux d'oigneaux,1,oui,not raw cotton,827861
ouvrages de peaux de daim,1,oui,not raw cotton,827861
ouvrages de peaux diverses,1,oui,not raw cotton,827861
ouvrages de peaux outres pleines,2,oui,not raw cotton,827861
ouvrages de physique,1,non,not raw cotton,827861
ouvrages de pierre,15,non,not raw cotton,827861
ouvrages de pierre autre que chiques,2,non,not raw cotton,827861
ouvrages de pierres de jais,1,non,,47338
ouvrages de pierres de jayet,1,non,not raw cotton,827861
ouvrages de plâtre,10,non,not raw cotton,827861
ouvrages de plâtre en figure,119,non,not raw cotton,827861
ouvrages de plomb,65,non,not raw cotton,827861
ouvrages de plumes,15,non,not raw cotton,827861
ouvrages de plumes d'autruche,14,non,,47338
ouvrages de poterie,2,non,not raw cotton,827861
ouvrages de potin,1,non,,47338
ouvrages de sapin,1,non,not raw cotton,827861
ouvrages de sellier de toutes sortes,130,non,not raw cotton,827861
ouvrages de serrurerie,68,non,not raw cotton,827861
ouvrages de serrurerie de fer,66,non,not raw cotton,827861
ouvrages de serrurerie en ressorts de voiture,1,oui,not raw cotton,827861
ouvrages de soie,81,non,not raw cotton,827861
ouvrages de soie et dorure,3,non,not raw cotton,827861
ouvrages de soulier couverts en étoffe de soie pour femme,4,non,not raw cotton,827861
ouvrages de Spa,2,non,not raw cotton,827861
ouvrages de Spa en bois verni,110,non,not raw cotton,827861
ouvrages de sparterie,44,non,not raw cotton,827861
ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,10,non,not raw cotton,827861
ouvrages de sparterie commune et cordage de jonc ...,20,non,not raw cotton,827861
ouvrages de tabac,17,non,not raw cotton,827861
ouvrages de tabletterie,101,non,not raw cotton,827861
ouvrages de taillandier,6,non,not raw cotton,827861
ouvrages de terre,1,non,not raw cotton,827861
ouvrages de terre cuite,220,non,not raw cotton,827861
ouvrages de terre cuite et porcelaine,2,non,,47338
ouvrages de terre en postures,5,non,not raw cotton,827861
ouvrages de terre vernie,2,non,,47338
ouvrages de toile,18,non,not raw cotton,827861
ouvrages de toile pour linge de table,1,non,not raw cotton,827861
ouvrages de tôle,1,non,not raw cotton,827861
ouvrages de tonnelier,56,non,not raw cotton,827861
ouvrages de tonnelier en feuilles,1,non,not raw cotton,827861
ouvrages de tonnellerie,6,non,not raw cotton,827861
ouvrages de tourneur,39,non,not raw cotton,827861
ouvrages de vannerie de bois et d'osier,19,non,not raw cotton,827861
ouvrages de verre,11,non,not raw cotton,827861
ouvrages de verre en ???,4,non,not raw cotton,827861
ouvrages de verre en bossage,1,non,not raw cotton,827861
ouvrages de verre en rassades,9,non,not raw cotton,827861
ouvrages de verres,21,non,not raw cotton,827861
ouvrages de zinc,2,non,not raw cotton,827861
ouvrages devant,0,non,not raw cotton,827861
ouvrages divers,340,non,not raw cotton,827861
ouvrages divers d'étain,3,non,not raw cotton,827861
ouvrages divers en pierre,3,non,,47338
ouvrages dorés,1,non,not raw cotton,827861
ouvrages dorés argentés et plaqués,20,non,not raw cotton,827861
ouvrages dorure fausse,58,non,not raw cotton,827861
ouvrages en argenture et dorure,1,non,not raw cotton,827861
ouvrages en brique vernissée,1,non,not raw cotton,827861
ouvrages en cheveux,2,non,not raw cotton,827861
ouvrages en cuivre plaqué doré et argenté,38,non,not raw cotton,827861
ouvrages en dorure,5,non,not raw cotton,827861
ouvrages en dorure argent faux,1,non,not raw cotton,827861
ouvrages en dorure fil d'argent,1,non,not raw cotton,827861
ouvrages en dorure fine,34,non,not raw cotton,827861
ouvrages en dorure fine et galon or et argent,1,non,,47338
ouvrages en dorure sur soie,1,non,not raw cotton,827861
ouvrages en esparballe,1,non,not raw cotton,827861
ouvrages en fleurs artificielles,47,non,not raw cotton,827861
ouvrages en futaillerie et de Saint-Claude,1,non,not raw cotton,827861
ouvrages en harnais et sellerie,33,non,not raw cotton,827861
ouvrages en ivoire et écaille,2,non,not raw cotton,827861
ouvrages en lames à couvrir,1,non,not raw cotton,827861
ouvrages en marbre,4,non,not raw cotton,827861
ouvrages en métal,1,non,not raw cotton,827861
ouvrages en métal et fer,1,non,not raw cotton,827861
ouvrages en métaux communs argentés dorés plaqués vernissés,4,non,not raw cotton,827861
ouvrages en métaux communs plaqués,2,non,not raw cotton,827861
ouvrages en nacre de perle,1,non,not raw cotton,827861
ouvrages en nattes de bois,0,non,not raw cotton,827861
ouvrages en nattes de Moscovie,0,non,not raw cotton,827861
ouvrages en passementerie ordinaire,13,oui,not raw cotton,827861
ouvrages en pierres,8,non,not raw cotton,827861
ouvrages en poil autres que le tissu,2,non,not raw cotton,827861
ouvrages en terre cuite,86,oui,not raw cotton,827861
ouvrages en tôle vernie,4,non,not raw cotton,827861
ouvrages et ornements pour une église,1,non,not raw cotton,827861
ouvrages et outils d'horlogerie,67,non,not raw cotton,827861
ouvrages pantoufles,2,non,not raw cotton,827861
ouvrages riches et divers,2,oui,not raw cotton,827861
ouvrages tricotés pour vestes camisoles et culottes,120,non,not raw cotton,827861
oxyde d'étain et de fer,4,non,not raw cotton,827861
oxyde de cuivre,1,non,not raw cotton,827861
oxyde de manganèse,2,non,not raw cotton,827861
oxyde de plomb,0,non,not raw cotton,827861
oxyde de zinc blanc,1,non,not raw cotton,827861
oxyde de zinc blanc ou gris,2,non,not raw cotton,827861
oxyde de zinc gris cendré,40,non,not raw cotton,827861
oxyde de zinc gris cendré (tutie),1,oui,,47338
ozpin,1,non,,47338
P ???,1,non,,47338
packlaeken,15,non,not raw cotton,827861
packlaeken blanc,6,non,not raw cotton,827861
packlaeken teint,4,non,not raw cotton,827861
pacotille,20,non,,47338
padoux,30,non,not raw cotton,827861
padoux de fil,17,non,not raw cotton,827861
padoux de fleuret et soie,1,non,not raw cotton,827861
padoux de laine,1,non,not raw cotton,827861
paesures,1,non,not raw cotton,827861
pagas,1,non,not raw cotton,827861
pagne,11,non,not raw cotton,827861
paillasses,1,non,not raw cotton,827861
paillassons et tapis de sol,41,non,not raw cotton,827861
paille,250,non,not raw cotton,827861
paille d'herbes,2,non,not raw cotton,827861
paille de foin,1,non,not raw cotton,827861
paille de lin,5,non,not raw cotton,827861
paille dite chaume à couvrir toits,2,non,not raw cotton,827861
paille et herbes de pâturage,3,non,not raw cotton,827861
paille hachée,60,non,not raw cotton,827861
paille pour chaise,3,non,not raw cotton,827861
paillers d'espars,4,non,not raw cotton,827861
pailles de bois,1,non,not raw cotton,827861
paillettes,1,non,,47338
paillettes d' ???,1,oui,not raw cotton,827861
paillettes d'argent,1,non,not raw cotton,827861
paillettes d'or,3,non,not raw cotton,827861
paillettes d'or fin et paillous d'or fin,2,non,not raw cotton,827861
pain,109,non,not raw cotton,827861
pain ?,1,non,,47338
pain à cacheter,31,non,not raw cotton,827861
pain à castille,2,non,not raw cotton,827861
pain d'épice,287,non,not raw cotton,827861
pain d'épice et pâtisserie,2,non,not raw cotton,827861
pain de cire blanche,2,non,not raw cotton,827861
pain de colza et de lin et de navette,1,non,not raw cotton,827861
pain de graine de lin,3,non,not raw cotton,827861
pain de graine de lin et de navette,2,non,not raw cotton,827861
pain de navette,288,non,not raw cotton,827861
pain de navette en poudre,95,non,not raw cotton,827861
pain de navette et de lin pour engrais,1,non,,47338
pains d'engrais,1,non,,47338
pains de graine grasse,6,non,,47338
paires de poulets,1,oui,not raw cotton,827861
palangre,11,non,not raw cotton,827861
palatine,23,non,not raw cotton,827861
palatine avec argent,1,non,not raw cotton,827861
palatine de chenille,1,non,not raw cotton,827861
palatine de peau de grèbe,1,non,not raw cotton,827861
palatine de soie,7,non,not raw cotton,827861
palatine et coiffures de gaze,1,non,not raw cotton,827861
palenas,1,non,not raw cotton,827861
paliacates,3,non,not raw cotton,827861
palins,2,non,not raw cotton,827861
Palma Christi,1,oui,not raw cotton,827861
palme,19,non,not raw cotton,827861
palme en feuilles,80,non,not raw cotton,827861
palme pour balais,1,non,not raw cotton,827861
palun,12,non,not raw cotton,827861
panade,1,non,,47338
panetons,2,non,not raw cotton,827861
paniers,8,non,not raw cotton,827861
paniers à chauffer,1,non,not raw cotton,827861
paniers à couvrir de terre cuite,1,non,not raw cotton,827861
paniers à ouvrages,1,non,not raw cotton,827861
paniers d'espars,1,non,not raw cotton,827861
paniers d'habit,5,non,not raw cotton,827861
paniers d'habit de crin,1,non,not raw cotton,827861
paniers d'olives,1,non,not raw cotton,827861
paniers d'orseille,1,non,not raw cotton,827861
paniers d'oseille,1,non,not raw cotton,827861
paniers d'osier,101,non,not raw cotton,827861
paniers d'osier petit,1,non,not raw cotton,827861
paniers de caudré,1,non,not raw cotton,827861
paniers de coudre,7,non,not raw cotton,827861
paniers de cuivre,1,non,not raw cotton,827861
paniers de femme,4,non,not raw cotton,827861
paniers de fer,1,non,not raw cotton,827861
paniers de foudre,1,non,not raw cotton,827861
paniers de jonc,2,non,not raw cotton,827861
paniers de vannier,2,non,,47338
paniers pour femme,2,non,not raw cotton,827861
panine,17,non,not raw cotton,827861
panine de soie,30,non,not raw cotton,827861
panis à cachette,2,non,not raw cotton,827861
panne,124,non,not raw cotton,827861
panne à couvrir,4,non,not raw cotton,827861
panne ciselée,2,non,not raw cotton,827861
panne d'Amiens,8,non,not raw cotton,827861
panne de coton,1,non,not raw cotton,827861
panne de fil et de laine,2,non,,47338
panne de laine,33,non,not raw cotton,827861
panne de laine et de long poil,1,non,not raw cotton,827861
panne de laine et de poil,4,non,not raw cotton,827861
panne de laine et peluches de laine,0,non,not raw cotton,827861
panne de laine et peluchesde laine,1,oui,,47338
panne de laine ficelée,1,non,not raw cotton,827861
panne de poil,38,non,not raw cotton,827861
panne de poil longue,1,non,not raw cotton,827861
panne de soie,95,non,not raw cotton,827861
panne de velours,1,non,not raw cotton,827861
panne de velours sur soie,2,non,not raw cotton,827861
panne des prises,2,non,not raw cotton,827861
panne écarlate,5,non,not raw cotton,827861
panne en peluches et tripe,2,oui,,47338
panne en peluches et tripe aune,2,oui,not raw cotton,827861
panne en poil,5,non,not raw cotton,827861
panne imprimée,2,non,not raw cotton,827861
panne laine et poil,2,non,not raw cotton,827861
panne ordinaire,7,non,not raw cotton,827861
panne peluches et tripe,2,oui,not raw cotton,827861
panne poil,1,non,not raw cotton,827861
panne rouge,1,non,not raw cotton,827861
"panne, peluches et tripe",234,non,,47338
panneau et carreaux rouges à paver,1,oui,,47338
panneaux,16,non,not raw cotton,827861
panneaux de bois,1,non,not raw cotton,827861
panneaux et carreaux rouges à paver,1,non,,47338
pans à couvrir de terre cuite,3,non,not raw cotton,827861
pantalons,1,non,not raw cotton,827861
pantalons de soie,1,non,not raw cotton,827861
pantoufles,6,non,not raw cotton,827861
pantoufles brodées,2,non,not raw cotton,827861
pantoufles brodées pour femme,1,non,,47338
pantoufles de cuir,2,non,not raw cotton,827861
pantoufles de cuir et de maroquin,4,non,not raw cotton,827861
paons,6,non,not raw cotton,827861
papelias,1,non,not raw cotton,827861
papeterie,5,oui,,47338
papeterie de toutes sortes,5,oui,,47338
papier,2197,non,not raw cotton,827861
papier ???,5,non,not raw cotton,827861
papier à bulle,18,non,not raw cotton,827861
papier à bulle blanc,52,non,not raw cotton,827861
papier à bulle gros,2,non,not raw cotton,827861
papier à cartes,1,non,not raw cotton,827861
papier à cartouche,2,non,not raw cotton,827861
papier à connaissements,1,non,not raw cotton,827861
papier à doublage,9,non,not raw cotton,827861
papier à doublage et peint,3,non,not raw cotton,827861
papier à écrire,713,non,not raw cotton,827861
papier à écrire bleu gris,11,non,,47338
papier à écrire commun,1,non,,47338
papier à écrire toute espèce,5,non,not raw cotton,827861
papier à écu fin,2,non,not raw cotton,827861
papier à enveloppe,12,non,not raw cotton,827861
papier à enveloppe à pâte de couleur,5,non,,47338
papier à envelopper,1,non,not raw cotton,827861
papier à états,1,non,not raw cotton,827861
papier à éventail,16,non,not raw cotton,827861
papier à facture,3,non,not raw cotton,827861
papier à faire carte,4,non,not raw cotton,827861
papier à feites,1,non,not raw cotton,827861
papier à friser,1,non,not raw cotton,827861
papier à gargousse,1,non,not raw cotton,827861
papier à grand compte,2,non,not raw cotton,827861
papier à image,4,non,not raw cotton,827861
papier à impression,9,non,not raw cotton,827861
papier à imprimer,16,non,not raw cotton,827861
papier à imprimer et à faire carte,70,non,not raw cotton,827861
papier à l'eau,9,non,not raw cotton,827861
papier à l'eau commun,2,non,not raw cotton,827861
papier à l'eau fin,3,non,not raw cotton,827861
papier à l'école,1,non,not raw cotton,827861
papier à l'écu,40,non,not raw cotton,827861
papier à l'écu fin,21,non,not raw cotton,827861
papier à l'étoile,41,non,not raw cotton,827861
papier à l'étoile commun,6,non,not raw cotton,827861
papier à l'étoile fin,15,non,not raw cotton,827861
papier à la cloche,11,non,not raw cotton,827861
papier à la noblesse,1,non,not raw cotton,827861
papier à la piperie,2,non,not raw cotton,827861
papier à lettre,58,non,not raw cotton,827861
papier à lettres de Hollande,1,non,not raw cotton,827861
papier à litière,1,non,not raw cotton,827861
papier à meubler,128,non,not raw cotton,827861
papier à ministre,1,non,not raw cotton,827861
papier à musique,3,non,not raw cotton,827861
papier à paqueter grand format,3,non,not raw cotton,827861
papier à paqueter petit format,3,non,not raw cotton,827861
papier à plan,4,non,not raw cotton,827861
papier à pliage,2,non,not raw cotton,827861
papier à sucre,40,non,not raw cotton,827861
papier à tapisserie,3,non,not raw cotton,827861
papier à toile,1,non,not raw cotton,827861
papier argenté et doré,6,non,not raw cotton,827861
papier aux armes,20,non,not raw cotton,827861
papier bâtard,129,non,not raw cotton,827861
papier bâtard blanc,1,non,not raw cotton,827861
papier bâtard fin,96,non,not raw cotton,827861
papier blanc,1387,non,not raw cotton,827861
papier blanc à écrire,141,non,not raw cotton,827861
papier blanc à enveloppe,3,non,not raw cotton,827861
papier blanc et peint,1,non,,47338
papier blanc Galmes,0,non,not raw cotton,827861
papier blanc ou rayé pour musique,3,non,not raw cotton,827861
papier blanc petit format,3,non,not raw cotton,827861
papier blanc rainé,1,non,not raw cotton,827861
papier bleu,89,non,not raw cotton,827861
papier bleu à couvrir,81,non,not raw cotton,827861
papier bleu de Hollande,1,non,not raw cotton,827861
papier bleu et gris,1,non,not raw cotton,827861
papier bleu et gris à enveloppes,2,non,,47338
papier bleu petit format,3,non,not raw cotton,827861
papier bouet,1,non,not raw cotton,827861
papier brodé à figures de soie,2,non,not raw cotton,827861
papier brouillard,8,non,not raw cotton,827861
papier brun,2,non,not raw cotton,827861
papier bulle,2,non,not raw cotton,827861
papier bulle blanc,25,non,not raw cotton,827861
papier bulle blanche,2,non,not raw cotton,827861
papier bulle gros,1,non,not raw cotton,827861
papier buvard,4,non,not raw cotton,827861
papier buvard fin,4,non,not raw cotton,827861
papier carré,4,non,not raw cotton,827861
papier cartier,6,non,not raw cotton,827861
papier cire à cacheter,5,non,not raw cotton,827861
papier collé,2,non,not raw cotton,827861
papier colombier,1,non,not raw cotton,827861
papier colorié en rames,2,non,not raw cotton,827861
papier colorié en rames pour reliures,4,non,not raw cotton,827861
papier commun,140,non,not raw cotton,827861
